event,epoch,global_step,phys_factor_vae/loss_total,phys_factor_vae/loss_factor,phys_factor_vae/loss_factor_e,phys_factor_vae/loss_factor_t,phys_factor_vae/loss_factor_r,phys_factor_vae/loss_factor_a,phys_factor_vae/loss_factor_b,phys_factor_vae/loss_phys,phys_factor_vae/loss_delta,phys_factor_vae/loss_img,phys_factor_vae/loss_edge,phys_factor_vae/loss_lpips,phys_factor_vae/loss_kl,loss_G,latent_std,latent_mean,latent_normalizer,DroneVehicle_day_val/PSNR,DroneVehicle_day_val/SSIM,DroneVehicle_day_val/FID,DroneVehicle_day_val/LPIPS,val_all/PSNR,val_all/SSIM,val_all/FID,val_all/LPIPS
train_epoch_end,1,360,0.5725746750831604,0.17291736602783203,0.01758504845201969,0.11633196473121643,0.1259613037109375,0.011101651936769485,0.07835458219051361,0.09538403153419495,0.003717168001458049,0.08149944990873337,0.2805369794368744,0.58251953125,9164.9267578125,0.5725746750831604,,,,,,,,,,,
train_epoch_end,2,720,0.5507736206054688,0.1424378901720047,0.014594853855669498,0.08349330723285675,0.12402895092964172,0.02737661823630333,0.08620385825634003,0.07379047572612762,0.004555180668830872,0.09478192031383514,0.31476014852523804,0.52197265625,9551.12109375,0.5507736206054688,1.3490831851959229,0.44383537769317627,0.7412441372871399,,,,,,,,
train_epoch_end,3,1080,0.4920794665813446,0.13648797571659088,0.01704803667962551,0.07684385776519775,0.12304674088954926,0.03928414732217789,0.0827680453658104,0.07459980249404907,0.004694903269410133,0.06858401000499725,0.31367409229278564,0.489990234375,11699.017578125,0.4920794665813446,1.258089303970337,0.34399640560150146,0.7948561310768127,,,,,,,,
train_epoch_end,4,1440,0.45994558930397034,0.1290961056947708,0.012797677889466286,0.07221148908138275,0.12473417818546295,0.048378992825746536,0.07065501064062119,0.075110524892807,0.004373594187200069,0.06397885084152222,0.26597583293914795,0.44970703125,11930.7919921875,0.45994558930397034,1.066874623298645,0.2746868133544922,0.9373172521591187,,,,,,,,
train_epoch_end,5,1800,0.4358079135417938,0.11791268736124039,0.010668529197573662,0.06435458362102509,0.11958180367946625,0.05193684250116348,0.06320735067129135,0.06227312609553337,0.00404568575322628,0.06520049273967743,0.2616237998008728,0.43994140625,11763.1181640625,0.4358079135417938,1.053861141204834,0.2442810833454132,0.9488916397094727,,,,,,,,
train_epoch_end,6,2160,0.4211673140525818,0.11502261459827423,0.010546253994107246,0.06081569194793701,0.12263248860836029,0.04102427139878273,0.06723921000957489,0.05927511304616928,0.004295149818062782,0.06311240792274475,0.26149311661720276,0.38427734375,12554.736328125,0.4211673140525818,0.9982118010520935,0.20686893165111542,1.0017913579940796,,,,,,,,
train_epoch_end,7,2520,0.41150227189064026,0.12307187169790268,0.011289883404970169,0.07192614674568176,0.12355175614356995,0.049131155014038086,0.0500887930393219,0.08101443946361542,0.003630317747592926,0.05239272490143776,0.19823893904685974,0.361328125,13307.65234375,0.41150227189064026,0.9941986203193665,0.1763077676296234,1.0058351755142212,,,,,,,,
train_epoch_end,8,2880,0.3459663689136505,0.09818493574857712,0.009315851144492626,0.04680031165480614,0.12320712208747864,0.05463295429944992,0.05116236209869385,0.054110992699861526,0.003733978606760502,0.047099292278289795,0.1892605721950531,0.3466796875,13754.7568359375,0.3459663689136505,0.9958689212799072,0.14884677529335022,1.004148244857788,,,,,,,,
train_epoch_end,9,3240,0.3688611090183258,0.10741536319255829,0.010923116467893124,0.054590195417404175,0.12299355864524841,0.057581767439842224,0.05435130000114441,0.062437646090984344,0.0042138178832829,0.047243036329746246,0.2119007408618927,0.32421875,14923.3779296875,0.3688611090183258,1.0104564428329468,0.11411119997501373,0.9896517395973206,,,,,,,,
validation_end,10,3600,,,,,,,,,,,,,,,1.0077532529830933,0.10822709649801254,0.9923064112663269,21.584707260131836,0.6863266229629517,95.6378173828125,0.4070773720741272,21.584707260131836,0.6863266229629517,95.6378173828125,0.4070773720741272
